#r 	ccsd	SVWN	pbe0	pbe	m062x	hse06	m11
2.764486	0.639716	0.641722	0.642033	0.641278	0.640045	0.642153	0.645040
2.783383	0.633119	0.634898	0.635111	0.634342	0.632883	0.635241	0.638163
2.802470	0.626478	0.628033	0.628150	0.627367	0.625685	0.628288	0.631243
2.821367	0.619798	0.621132	0.621154	0.620358	0.618458	0.621301	0.624287
2.840264	0.613084	0.614200	0.614127	0.613319	0.611206	0.614284	0.617298
2.859161	0.606340	0.607241	0.607076	0.606256	0.603934	0.607241	0.610281
2.878059	0.599571	0.600260	0.600004	0.599173	0.596647	0.600178	0.603242
2.897145	0.592782	0.593262	0.592917	0.592075	0.589349	0.593098	0.596184
2.916042	0.585976	0.586251	0.585817	0.584966	0.582046	0.586007	0.589112
2.934940	0.579158	0.579230	0.578710	0.577851	0.574740	0.578907	0.582030
2.953837	0.572332	0.572205	0.571600	0.570732	0.567436	0.571804	0.574942
2.972734	0.565501	0.565178	0.564490	0.563615	0.560139	0.564702	0.567852
2.991821	0.558669	0.558154	0.557385	0.556502	0.552851	0.557603	0.560764
3.010718	0.551840	0.551136	0.550287	0.549398	0.545577	0.550512	0.553682
3.029615	0.545016	0.544128	0.543200	0.542307	0.538320	0.543432	0.546608
3.048512	0.538203	0.537132	0.536129	0.535230	0.531084	0.536367	0.539547
3.067410	0.531401	0.530153	0.529076	0.528173	0.523871	0.529319	0.532502
3.086496	0.524616	0.523194	0.522043	0.521137	0.516686	0.522293	0.525476
3.105393	0.517849	0.516257	0.515035	0.514126	0.509530	0.515290	0.518472
3.124291	0.511104	0.509345	0.508054	0.507143	0.502407	0.508315	0.511492
3.143188	0.504383	0.502461	0.501103	0.500190	0.495320	0.501368	0.504540
3.162085	0.497689	0.495608	0.494184	0.493270	0.488271	0.494454	0.497619
3.181171	0.491024	0.488788	0.487301	0.486386	0.481262	0.487575	0.490730
3.200069	0.484391	0.482003	0.480455	0.479540	0.474297	0.480733	0.483877
3.218966	0.477792	0.475257	0.473648	0.472734	0.467376	0.473931	0.477061
3.237863	0.471229	0.468550	0.466883	0.465971	0.460504	0.467170	0.470285
3.256761	0.464705	0.461886	0.460163	0.459252	0.453680	0.460453	0.463551
3.275847	0.458221	0.455266	0.453488	0.452580	0.446908	0.453781	0.456861
3.294744	0.451779	0.448692	0.446861	0.445956	0.440190	0.447157	0.450217
3.313642	0.445381	0.442165	0.440283	0.439382	0.433526	0.440583	0.443621
3.332539	0.439028	0.435688	0.433757	0.432860	0.426919	0.434059	0.437073
3.351436	0.432723	0.429262	0.427283	0.426391	0.420369	0.427588	0.430577
3.370522	0.426467	0.422888	0.420864	0.419977	0.413879	0.421171	0.424134
3.389420	0.420260	0.416569	0.414500	0.413619	0.407450	0.414809	0.417744
3.408317	0.414105	0.410304	0.408194	0.407318	0.401082	0.408504	0.411410
3.427214	0.408003	0.404096	0.401945	0.401076	0.394778	0.402257	0.405132
3.446112	0.401955	0.397945	0.395755	0.394893	0.388538	0.396069	0.398911
3.465198	0.395961	0.391853	0.389626	0.388771	0.382362	0.389941	0.392750
3.484095	0.390024	0.385820	0.383558	0.382711	0.376253	0.383874	0.386648
3.502993	0.384143	0.379847	0.377552	0.376713	0.370210	0.377868	0.380607
3.521890	0.378320	0.373936	0.371608	0.370778	0.364234	0.371926	0.374627
3.540787	0.372555	0.368087	0.365728	0.364907	0.358326	0.366046	0.368709
3.559873	0.366850	0.362300	0.359913	0.359101	0.352487	0.360231	0.362854
3.578771	0.361204	0.356576	0.354162	0.353359	0.346716	0.354480	0.357063
3.597668	0.355619	0.350916	0.348476	0.347684	0.341015	0.348794	0.351336
3.616565	0.350094	0.345320	0.342856	0.342074	0.335384	0.343173	0.345673
3.635463	0.344631	0.339789	0.337301	0.336530	0.329823	0.337619	0.340075
3.654549	0.339230	0.334322	0.331814	0.331053	0.324332	0.332130	0.334543
3.673446	0.333890	0.328921	0.326392	0.325643	0.318911	0.326708	0.329076
3.692343	0.328613	0.323585	0.321038	0.320300	0.313561	0.321353	0.323675
3.711241	0.323398	0.318314	0.315750	0.315024	0.308281	0.316064	0.318340
3.730138	0.318246	0.313109	0.310530	0.309816	0.303071	0.310843	0.313071
3.749224	0.313157	0.307970	0.305376	0.304675	0.297932	0.305688	0.307868
3.768122	0.308131	0.302897	0.300290	0.299601	0.292864	0.300600	0.302732
3.787019	0.303167	0.297889	0.295270	0.294594	0.287865	0.295579	0.297662
3.805916	0.298266	0.292947	0.290318	0.289654	0.282937	0.290625	0.292658
3.824814	0.293429	0.288070	0.285432	0.284781	0.278078	0.285737	0.287721
3.843900	0.288654	0.283259	0.280612	0.279975	0.273289	0.280916	0.282849
3.862797	0.283941	0.278513	0.275859	0.275235	0.268569	0.276161	0.278043
3.881694	0.279291	0.273832	0.271173	0.270562	0.263918	0.271472	0.273303
3.900592	0.274703	0.269215	0.266552	0.265955	0.259335	0.266849	0.268628
3.919489	0.270177	0.264663	0.261996	0.261413	0.254820	0.262291	0.264019
3.938575	0.265713	0.260175	0.257506	0.256937	0.250373	0.257798	0.259474
3.957473	0.261310	0.255751	0.253080	0.252525	0.245993	0.253370	0.254993
3.976370	0.256969	0.251390	0.248719	0.248178	0.241679	0.249006	0.250577
3.995267	0.252688	0.247092	0.244421	0.243894	0.237432	0.244706	0.246224
4.014164	0.248467	0.242857	0.240188	0.239675	0.233250	0.240469	0.241934
4.033251	0.244307	0.238683	0.236017	0.235518	0.229133	0.236296	0.237708
4.052148	0.240206	0.234571	0.231908	0.231424	0.225081	0.232184	0.233543
4.071045	0.236164	0.230520	0.227862	0.227392	0.221092	0.228135	0.229441
4.089943	0.232180	0.226530	0.223877	0.223421	0.217166	0.224147	0.225400
4.108840	0.228255	0.222600	0.219953	0.219512	0.213303	0.220220	0.221420
4.127926	0.224388	0.218729	0.216089	0.215662	0.209502	0.216353	0.217500
4.146824	0.220577	0.214918	0.212285	0.211873	0.205762	0.212545	0.213639
4.165721	0.216824	0.211164	0.208540	0.208142	0.202083	0.208797	0.209838
4.184618	0.213126	0.207469	0.204853	0.204470	0.198463	0.205107	0.206096
4.203515	0.209484	0.203830	0.201225	0.200856	0.194903	0.201475	0.202412
4.222602	0.205897	0.200249	0.197653	0.197299	0.191401	0.197900	0.198784
4.241499	0.202364	0.196723	0.194138	0.193798	0.187956	0.194382	0.195214
4.260396	0.198886	0.193252	0.190680	0.190354	0.184569	0.190920	0.191700
4.279294	0.195460	0.189836	0.187276	0.186964	0.181238	0.187513	0.188241
4.298191	0.192087	0.186474	0.183927	0.183630	0.177963	0.184160	0.184838
4.317277	0.188766	0.183166	0.180632	0.180349	0.174742	0.180862	0.181488
4.336174	0.185497	0.179910	0.177391	0.177121	0.171576	0.177616	0.178192
4.355072	0.182278	0.176707	0.174202	0.173946	0.168462	0.174424	0.174949
